code,idx,date,close
002287.XSHE,3.0,2019-08-30,20.87
002287.XSHE,4.0,2019-09-30,20.34
002287.XSHE,5.0,2019-10-31,20.79
002287.XSHE,6.0,2019-11-29,21.5
002287.XSHE,7.0,2019-12-31,21.77
002287.XSHE,8.0,2020-01-23,22.39
002287.XSHE,9.0,2020-02-28,21.55
002287.XSHE,10.0,2020-03-31,20.07
002287.XSHE,11.0,2020-04-30,19.12
002288.XSHE,0.0,2019-05-31,4.89
002288.XSHE,1.0,2019-06-28,4.5
002288.XSHE,2.0,2019-07-31,4.89
002288.XSHE,3.0,2019-08-30,4.56
002288.XSHE,4.0,2019-09-30,4.62
002288.XSHE,5.0,2019-10-31,4.46
002288.XSHE,6.0,2019-11-29,4.32
002288.XSHE,7.0,2019-12-31,4.84
002288.XSHE,8.0,2020-01-23,4.98
002288.XSHE,9.0,2020-02-28,5.51
002288.XSHE,10.0,2020-03-31,4.58
002288.XSHE,11.0,2020-04-30,4.45
002289.XSHE,0.0,2019-05-31,7.87
002289.XSHE,1.0,2019-06-28,7.46
002289.XSHE,2.0,2019-07-31,6.9
002289.XSHE,3.0,2019-08-30,7.24
002289.XSHE,4.0,2019-09-30,6.45
002289.XSHE,5.0,2019-10-31,6.68
002289.XSHE,6.0,2019-11-29,6.78
002289.XSHE,7.0,2019-12-31,8.07
002289.XSHE,8.0,2020-01-23,10.61
002289.XSHE,9.0,2020-02-28,12.41
002289.XSHE,10.0,2020-03-31,12.19
002289.XSHE,11.0,2020-04-30,10.2
002290.XSHE,0.0,2019-05-31,5.45
002290.XSHE,1.0,2019-06-28,5.24
002290.XSHE,2.0,2019-07-31,4.79
002290.XSHE,3.0,2019-08-30,4.78
002290.XSHE,4.0,2019-09-30,4.88
002290.XSHE,5.0,2019-10-31,4.55
002290.XSHE,6.0,2019-11-29,4.69
002290.XSHE,7.0,2019-12-31,4.99
002290.XSHE,8.0,2020-01-23,4.69
002290.XSHE,9.0,2020-02-28,4.57
002290.XSHE,10.0,2020-03-31,4.89
002290.XSHE,11.0,2020-04-30,5.5
002291.XSHE,0.0,2019-05-31,5.19
002291.XSHE,1.0,2019-06-28,4.93
002291.XSHE,2.0,2019-07-31,4.9
002291.XSHE,3.0,2019-08-30,5.11
002291.XSHE,4.0,2019-09-30,5.1
002291.XSHE,5.0,2019-10-31,7.1
002291.XSHE,6.0,2019-11-29,6.87
002291.XSHE,7.0,2019-12-31,19.67
002291.XSHE,8.0,2020-01-23,27.09
002291.XSHE,9.0,2020-02-28,22.65
002291.XSHE,10.0,2020-03-31,22.19
002291.XSHE,11.0,2020-04-30,18.77
002292.XSHE,0.0,2019-05-31,6.49
002292.XSHE,1.0,2019-06-28,6.41
002292.XSHE,2.0,2019-07-31,6.14
002292.XSHE,3.0,2019-08-30,6.21
002292.XSHE,4.0,2019-09-30,6.12
002292.XSHE,5.0,2019-10-31,7.09
002292.XSHE,6.0,2019-11-29,8.29
002292.XSHE,7.0,2019-12-31,9.93
002292.XSHE,8.0,2020-01-23,8.84
002292.XSHE,9.0,2020-02-28,7.59
002292.XSHE,10.0,2020-03-31,7.25
002292.XSHE,11.0,2020-04-30,6.37
002293.XSHE,0.0,2019-05-31,9.39
002293.XSHE,1.0,2019-06-28,9.41
002293.XSHE,2.0,2019-07-31,9.11
002293.XSHE,3.0,2019-08-30,8.74
002293.XSHE,4.0,2019-09-30,8.59
002293.XSHE,5.0,2019-10-31,8.58
002293.XSHE,6.0,2019-11-29,8.19
002293.XSHE,7.0,2019-12-31,8.62
002293.XSHE,8.0,2020-01-23,8.33
002293.XSHE,9.0,2020-02-28,8.27
002293.XSHE,10.0,2020-03-31,8.46
002293.XSHE,11.0,2020-04-30,8.59
002294.XSHE,0.0,2019-05-31,21.75
002294.XSHE,1.0,2019-06-28,21.82
002294.XSHE,2.0,2019-07-31,21.87
002294.XSHE,3.0,2019-08-30,21.52
002294.XSHE,4.0,2019-09-30,18.23
002294.XSHE,5.0,2019-10-31,18.26
002294.XSHE,6.0,2019-11-29,18.1
002294.XSHE,7.0,2019-12-31,19.44
002294.XSHE,8.0,2020-01-23,18.1
002294.XSHE,9.0,2020-02-28,18.07
002294.XSHE,10.0,2020-03-31,17.3
002294.XSHE,11.0,2020-04-30,18.25
002295.XSHE,0.0,2019-05-31,8.38
002295.XSHE,1.0,2019-06-28,8.49
002295.XSHE,2.0,2019-07-31,7.86
002295.XSHE,3.0,2019-08-30,7.49
002295.XSHE,4.0,2019-09-30,7.73
002295.XSHE,5.0,2019-10-31,7.23
002295.XSHE,6.0,2019-11-29,7.25
002295.XSHE,7.0,2019-12-31,7.71
002295.XSHE,8.0,2020-01-23,7.01
002295.XSHE,9.0,2020-02-28,6.78
002295.XSHE,10.0,2020-03-31,6.26
002295.XSHE,11.0,2020-04-30,6.69
002296.XSHE,0.0,2019-05-31,6.57
002296.XSHE,1.0,2019-06-28,6.42
